3287,3674,4017,4349,5595,5438,10840,11010,10449,9329,5206,5042,4879,4338,3660,2953,2350,1844,-7062,-9093,-9779,-8816,-9067,-9958,-8802,-8240,-7908,-7895,-8057,-7858,-7545,-7182
-6750,-2065,-668,1566,1627,1668,1428,-196,-8,153,323,558,852,1084,1189,1263,1496,1852,962,738,689,483,383,-72,-6639,-5652,-4533,-1306,-1620,-2237,-5141,-4818
-4135,-1298,-711,-314,3429,3362,3017,3119,3058,2774,2281,1752,1176,568,96,-115,-286,-370,-381,6374,8224,11637,11655,10194,8545,5997,-3019,-1561,1017,719,-2431,-2553
-1131,-257,-815,-1903,-3200,-5297,-6991,-8294,-11825,-683,2457,4282,4631,3741,4578,992,-2827,-6057,-8315,-9155,-8595,-6831,-5020,-3697,-3181,-6677,-6088,-6086,-6588,-6515,-5896,-2209
-2015,-2141,-2135,-2063,-2188,-2648,-3830,-3336,-2579,-1483,-253,852,1573,1830,1840,1930,2876,3456,2899,1954,930,2544,6451,8303,10360,12641,3514,2477,1014,-714,-2335,-2994
-3005,-6749,5069,5008,-4176,-5086,-6077,-3018,-1997,-2154,-2692,-3453,-3718,1996,4290,344,-448,-553,-161,8840,12593,9071,6997,5100,-8522,-7572,-6253,-2758,-3815,-5015,-5857,-4853
-5142,-5514,-5552,-5472,-5616,-7384,-1604,4751,5822,5250,-901,-2651,-1684,-101,1569,2867,3714,4068,3645,2421,646,-1328,-3793,-6059,-7427,-7713,-7925,-8024,-7520,-6923,-5022,-4676
-8146,-6734,-7541,-3186,-1266,-1670,3642,4993,1984,2247,3137,4035,4514,4517,4206,3860,3363,3611,12962,13778,13873,816,227,99,-1596,-1711,-906,-878,-2531,-3008,-3877,-5298
-7102,-9243,-11723,-13504,-13216,-10535,-235,8885,4641,3226,4578,7828,8019,6325,2751,-7478,-6548,-4733,-6944,-8476,-9368,-9813,-8594,-6072,-4727,-3718,-4480,-5057,-4775,-765,-1727,-2051
-1402,159,1999,3496,4456,4831,4650,4399,4456,5018,6056,12526,14253,15214,14604,13016,10947,6539,6375,6545,-682,-1148,-621,-1997,-3699,-5842,-6178,-5047,-5108,-5765,-8098,-3650
1682,8114,1662,2755,3561,3840,3553,-3183,-5013,-6121,-6386,-6134,-5440,-4882,-8088,-6893,-7532,-7162,326,349,-788,-2331,-764,652,1548,2085,1283,156,-896,-1566,-1045,16065
16600,16568,15357,-390,-226,-3003,-1562,-684,-9119,-8273,-3987,5228,4908,3634,1676,2211,3288,4006,-7310,-7414,-6593,-4939,-2935,1548,1614,1211,-11109,-12666,-8230,-7648,-6629,-5852
-5236,-3502,-4538,-6132,-7983,-7607,-6242,-3859,3156,4229,4646,4623,4443,4402,4478,4570,4644,4665,4743,5430,7013,9247,11399,13051,12470,10486,8564,6673,4970,-2735,-2705,-2939
-9534,-8797,-1612,5898,4898,4775,-7952,-7815,-6012,-3112,234,3174,4912,4889,3554,1575,-5650,-7409,-8548,-8917,-8690,-8425,-8524,-9003,-5307,-3725,-2929,-2888,-6017,-6767,-7177,-4319
-2251,1543,1197,2114,4159,10284,13194,14918,8421,6224,4313,-1029,-1880,-2489,-2782,-2525,391,892,1334,1151,132,-1506,-3599,-6377,-12337,-13779,-13325,5620,7633,9252,8359,1987
624,-1766,-4694,2431,1036,-218,-593,-3813,-5063,-5729,-5588,-5578,-5901,-6444,-7027,-7360,-5960,-5391,-5035,-5045,-4535,-3171,1845,2584,2982,3069,924,11903,12598,13726,14949,1609
