2417,3825,5362,6770,8389,8268,-2488,-4352,-5668,-6053,-2878,-2358,-1667,-419,1144,2674,3559,3183,-1134,652,2669,4174,4181,3537,2205,1957,1648,1539,1701,1628,1564,1580
1355,-3539,-4028,648,1842,2341,2550,965,607,331,171,72,109,368,667,829,860,714,-1642,-169,2062,4372,5592,5738,-8615,-9017,-9279,-9827,-9857,-10449,-14496,-9876
-8667,-7826,-7568,-7545,-2597,-107,1716,1628,1626,1721,1853,1919,1919,1635,1183,812,645,846,1479,5780,5720,3231,1956,-1503,-1237,417,9566,8922,8041,7882,6082,6358
8261,1169,-415,-1224,-1175,-151,378,251,277,-2223,-2128,-1615,-851,-971,2016,3200,4677,5702,6098,5641,4258,1887,-336,-2396,-4070,-11498,-11578,-10358,-9383,-9208,-9610,-11876
-11820,-11422,-10798,-9867,-8826,-7708,-6867,-4052,-3244,-2691,-2284,-1921,-1369,-639,160,850,1579,1519,916,913,2869,4323,4061,3848,3227,-5207,12253,11603,11158,10117,8909,8092
8656,275,-5487,-3404,-7157,-7286,-7509,-11547,-10759,-10023,-9028,-7912,-7278,-9468,-9816,-3314,-1640,-564,-62,2450,507,1111,-723,-674,1987,2607,3417,6390,6442,6166,5669,2567
2361,1843,1182,875,1182,1912,-5735,-7618,-6842,-5047,848,1824,1549,1413,1886,2709,3405,3422,2525,1430,605,623,1389,3125,4674,5830,5840,5307,3221,637,-10453,-12385
-11602,-11889,-11909,-13182,-13101,-8233,-4901,-4490,2700,3060,2810,2564,2776,3427,4352,5760,7223,8169,6197,3815,809,2653,7920,8632,10362,10462,9197,7967,83,-1352,-1748,-1196
-399,430,1491,2163,1697,668,-1540,-2328,-530,65,2610,4372,4893,5072,5834,8665,5394,2212,-10481,-10515,-10673,-10757,-11183,-13864,-14504,-10201,-7370,-5135,-3898,-8286,-7910,-6611
-4899,-3285,-2059,-1188,-497,385,1571,2954,4208,5281,5754,2838,1570,512,-388,-180,686,3734,4243,4382,5685,6736,7580,6909,6340,5761,5410,-2896,-3050,-3845,1053,1803
