0,0,0,0,0,0
-1,-5,57,187,-119,-191
-1,-5,57,187,-119,-191
-1,-4,119,-85,48,-33
-2,-3,-110,31,-186,104
-2,-1,-92,-38,-38,173
-2,-2,-78,99,-97,236
-3,-3,-67,339,-152,217
-5,-5,-40,110,-444,306
-6,-5,-46,-101,-437,287
-10,2,-37,-586,94,451
-9,4,-39,-230,8,526
-14,16,-31,-56,-484,568
-15,15,-33,-101,-242,496
-17,24,-36,-1195,-52,366
-13,36,-38,-1692,360,465
-7,52,-36,-2008,97,352
-10,78,-31,-1415,-198,587
-17,85,-22,1360,-305,707
-20,68,-26,1283,-628,574
-20,67,-30,590,-599,399
-18,64,-39,-727,227,456
-19,67,-35,-478,-260,399
-25,72,-30,-127,-510,332
-24,74,-27,94,78,296
-24,79,-25,-143,76,170
-25,79,-23,328,79,55
-25,77,-22,500,-45,-24
-33,60,-25,934,-207,-139
-33,56,-29,764,189,28
-34,52,-29,654,225,-5
-33,41,-36,517,43,-35
-33,42,-35,700,9,-11
-29,25,-39,591,163,4
-29,25,-39,582,-9,5
-32,20,-41,489,-295,9
-36,22,-40,435,154,73
-37,18,-41,229,79,45
-37,17,-40,433,2,220
-37,4,-40,682,118,623
-36,5,-39,611,-298,534
-32,-2,-42,577,-173,340
-32,0,-41,470,-250,246
-33,-4,-39,873,-560,-65
-36,-8,-37,941,-180,73
-49,-31,-37,1220,-907,199
-58,-37,-39,699,-699,151
-64,-42,-40,365,-600,219
-70,-46,-38,431,-569,394
-80,-53,-35,658,-633,513
-80,-52,-33,528,-522,428
-86,-56,-30,273,-688,502
-92,-54,-27,302,-382,566
-94,-55,-23,400,-388,607
-98,-57,-19,1108,-943,707
-108,-63,-16,660,-355,529
-105,-63,-17,654,-47,454
-108,-67,-15,809,-411,440
-112,-74,-13,1073,-219,553
-115,-87,-11,1104,-538,453
-117,-87,-10,1115,-861,339
123,-106,-7,1101,-286,164
126,-105,-7,889,-167,281
116,-120,-3,881,-759,405
115,-119,-3,1099,-330,515
107,-127,0,772,-363,652
105,127,0,733,-488,580
101,124,3,620,92,556
102,125,3,751,-639,475
91,119,8,759,-579,729
90,119,7,821,-475,754
77,115,14,797,-502,904
79,116,13,605,-557,786
75,118,20,654,-257,674
76,119,20,754,-478,591
71,116,27,1150,-457,391
71,114,27,1194,-543,521
62,103,32,689,-281,395
62,104,33,614,-566,361
58,103,34,746,260,99
62,104,36,703,-107,17
85,93,44,1250,434,-1043
96,81,53,308,-679,-1453
-102,28,109,5548,-1725,-10713
-5,-63,-117,10908,7213,-11627
100,99,1,8527,3365,-21852
39,116,108,12498,649,-24140
-115,116,55,12576,6237,-26967
89,-119,81,12282,7605,-24280
37,-101,32,8472,-6412,-23302
17,-72,-119,11454,843,-24115
41,117,-26,11404,-7342,-25047
-72,-90,-73,5819,-10733,-12703
116,-19,-73,68,4719,-18025
-35,-59,-80,-4670,6081,-16645
-50,-29,0,-13311,9072,-20120
-126,-70,-56,-11831,11535,-23041
11,38,-93,-8806,7253,-28130
115,-17,-64,-10028,7791,-25338
-18,-67,1,-14338,6831,-18224
5,-15,-33,-12221,6618,-19550
-69,-26,-110,-14033,-6485,-4561
68,-80,-105,-14413,6257,-11019
104,91,18,-15420,-390,1279
117,61,-37,-13130,-3763,3447
-14,4,119,-16968,5576,13666
-60,42,102,-11733,-2691,16615
5,-114,49,-838,-16682,-30165
-83,119,-107,-3273,-12044,-32010
127,-13,86,-13651,18448,-8086
-48,39,86,9756,-7114,-21918
-29,-12,17,6704,1467,-14480
94,-79,88,2437,-1594,-6591
-66,54,-8,-4026,-1829,2416
60,55,48,9897,-2241,-7130
-76,98,-51,15548,-2445,-2206
-46,93,97,5975,-4771,2137
55,-63,101,-3407,1822,3902
121,-16,114,-5426,-797,2163
-65,39,-87,-4678,4864,4849
-35,14,-64,-646,790,2207
-61,-27,-113,8392,838,7058
-78,-50,-25,-5875,24484,12482
-112,-101,105,-18874,817,18907
-71,109,-113,-7076,2521,13030
11,-82,76,-21008,-20978,19743
-14,-103,-58,-8102,-10334,22252
9,-65,-60,-12633,-6929,11580
-55,15,-65,-28737,-6014,22937
-14,-7,111,-18570,-18359,21072
60,120,80,-2225,-21910,27316
-5,116,-49,4819,-31453,26905
-78,-14,-44,-635,-24872,24429
55,56,-115,-5011,-16536,22119
16,-97,51,2071,-29431,20410
-83,-62,71,9825,29529,17448
0,107,2,19489,-15314,13283
-96,80,-10,9878,-21390,17855
33,-6,-106,15325,-25225,10792
58,-35,92,17877,-21332,6291
48,-128,35,2077,-18775,5262
0,-118,73,10729,-19434,4238
88,48,120,5410,-10834,461
36,25,119,10114,-11469,626
-60,109,2,20141,-3248,-885
-37,55,-37,21487,-6762,145
-100,69,-11,14868,-10169,-3337
-118,-108,72,12250,-14031,-2313
-53,23,61,7438,-14283,-52
20,87,24,10328,-14469,432
82,-118,-18,16831,-9311,-5079
-29,26,113,21620,-8328,-2879
31,-74,52,20899,-15401,6126
-43,25,41,16993,-11664,2493
35,40,-87,13852,-7420,3126
83,15,6,16163,-8642,3059
49,-109,-7,18587,-11698,5751
0,6,-57,16930,-10740,4014
-41,105,-29,15405,-8259,1585
-122,-128,124,16047,-4282,64
-99,48,15,15746,-4838,-2070
-92,-106,66,25649,-3470,-808
-68,-59,7,18495,-7051,-3485
-74,86,57,31210,4503,-13264
-118,11,-51,24702,-1939,-11459
13,-115,-118,24147,-13017,-11812
-72,1,-20,9048,12898,-12299
-107,-76,-69,18414,11977,-14868
80,125,126,16413,16121,-12480
-103,121,7,15526,15630,-13642
-33,-56,-42,6292,19966,-10074
32,35,97,5186,26971,-13977
-58,1,-87,5460,31157,-18056
105,-65,22,-1052,27863,-16147
-96,84,32,-2909,21530,-12496
-111,20,-64,-3979,13413,-9688
-63,-63,38,-7077,5883,-3678
46,88,7,-8121,7525,-736
-101,45,-86,-10907,-1084,6775
-93,-5,116,-4796,-526,3767
-105,-8,114,-7516,-2011,5155
2,-125,80,-9192,-17366,24064
101,101,-108,-5938,-16278,-27160
-108,-19,-13,5438,-3024,-32045
-11,75,29,5985,-1984,15171
-67,61,86,4757,-3823,20657
48,-40,-114,1306,6008,-11821
11,114,77,4646,2126,1363
115,-45,-14,9495,-3276,-6031
-48,107,6,9670,-7150,-697
-25,114,78,10410,1077,-3913
76,94,-120,-8653,3892,1728
67,104,-92,506,-1437,3916
41,113,126,5199,-17000,1580
44,-93,0,2370,-2088,-2773
-119,-75,-25,-1121,8502,-791
-124,-60,-118,-8929,9996,-1160
103,-21,43,-10779,238,2598
74,21,99,-3550,-2656,7130
126,81,116,-6487,-1937,6714
17,-32,2,-17706,-6885,12387
48,30,-100,-12798,19769,17436
-116,-58,96,-8532,-5625,16251
15,52,126,-8272,-13320,10069
40,-55,55,-22070,-11363,11411
41,-23,-24,-2625,1638,4445
-97,114,13,-21936,-20759,13321
47,50,61,-19145,-19444,9679
-23,-39,-72,-15854,-17414,9809
87,112,81,-10619,-18068,14613
57,114,112,-7624,-27729,9208
-119,-75,52,-6475,-4358,8968
79,-111,99,31660,31596,-4331
74,-87,121,-15618,-8806,17325
25,-74,-102,-5261,-11610,11137
-49,74,78,-622,-9913,9959
-76,65,53,3864,-12633,10496
77,-75,-10,4084,-5926,1075
33,-36,27,2521,-7805,-553
1,18,-110,11823,5840,-16883
31,9,-84,5584,-13423,-16041
28,4,18,5986,-14986,-18029
-47,-98,103,9822,-11199,-31674
116,1,-59,2632,-11455,-28656
76,113,-34,10171,-10322,30454
20,-65,-63,634,-27437,-32725
40,-93,-35,-8485,-16895,-32725
-5,10,117,-12943,28765,-32725
-113,72,31,-16869,-24361,-31924
89,47,-15,-20408,30952,-22813
59,-45,-91,-30012,32386,-18431
-45,53,-57,-29000,-32727,-15107
74,37,57,-28511,-32727,-9624
-103,-112,-110,-27320,-32727,-2497
49,111,73,-15488,-32727,283
-123,28,-1,-11138,-32727,3124
-85,48,57,-336,-32727,1238
82,-128,-99,-1491,-32727,3764
-17,-94,75,251,-12586,2923
-34,-125,-36,11651,-1899,-4482
19,8,49,22051,-10384,-14786
-88,22,-117,25312,-5040,-13702
-122,108,70,-27739,7558,-18208
-35,99,-62,-32565,2610,-16832
45,-34,-18,-32643,7962,-19529
-127,-103,127,-32643,-19423,11402
17,32,-69,3401,-32725,15779
8,24,-91,4689,-20598,-2371
79,-44,123,-23394,1030,-31359
-10,-82,-56,-15934,10630,16329
-14,-97,-18,-20816,9464,23187
66,30,89,-16588,10020,22224
-36,125,39,-13482,14368,21119
107,7,-63,-20771,18414,17989
87,-31,81,-23622,28749,22970
89,-18,113,-19199,-28655,26911
-128,39,-47,-31829,-32723,22514
6,-59,71,-27298,-32723,18555
94,-31,64,-25443,13496,9664
