-627
,5184
,-1870
,-2466
,2972
,1651
,-724
,-2761
,-3701
,-1204
,-2170
,-2987
,-3105
,-2422
,-1509
,-1069
,-1450
,209
,2183
,4178
,5397
,5261
,5155
,5583
,1223
,194
,-465
,-560
,-135
,685
,1178
,1594

1659
,1405
,278
,362
,351
,-102
,-274
,1076
,848
,-1209
,-1122
,-1697
,-2849
,-3850
,-4404
,-4016
,-2972
,-1652
,56
,1991
,3674
,3927
,3130
,1495
,-303
,-1960
,-2140
,-887
,2733
,3029
,2786
,2228

-687
,-252
,-304
,-529
,167
,-1038
,-2265
,-3279
,-3511
,-2932
,-1816
,-1192
,-894
,-1009
,-1094
,-1331
,-1168
,-410
,1076
,2198
,2272
,1386
,94
,-1433
,-2501
,1261
,2545
,3638
,4149
,4288
,-2335
,-1344

-834
,-1046
,-474
,548
,1715
,2518
,2163
,925
,-2521
,-2328
,-1656
,-869
,-696
,-608
,-495
,-410
,-428
,-677
,-634
,-235
,986
,4160
,1337
,-1546
,-3102
,-3052
,903
,638
,-980
,-733
,368
,1766

2627
,2573
,397
,-1434
,-2309
,-3339
,-1906
,-1057
,-212
,301
,706
,2392
,2336
,1560
,456
,-842
,-2403
,-3888
,-4465
,-4454
,-4067
,-3297
,-2115
,-941
,487
,2896
,-543
,-3036
,-4152
,-3888
,-2821
,-179

719
,1396
,2006
,2977
,3453
,3556
,2919
,-611
,-3699
,-3230
,-160
,896
,1170
,-1573
,-2310
,-2494
,-1835
,-2043
,-3212
,-3661
,-7167
,-6048
,5049
,5768
,2207
,-247
,-3194
,-6280
,-4654
,7609
,6064
,3120

3798
,-1360
,-1160
,-774
,-352
,-62
,40
,33
,17
,1
,3
,2
,2
,1
,2
,1
,1
,1
,0
,0
,0
,3
,3
,3
,2
,-1
,-6
,-12
,-14
,-18
,-18
,-20

